,precision,recall,f1-score,support
Extremely Negative,0.18599596335972676,0.7650063856960408,0.2992381666042213,4698.0
Negative,0.3176276771004942,0.11243293678563097,0.16607804289775174,8574.0
Neutral,0.18529664660361134,0.06464676766161692,0.09585232958968086,6667.0
Positive,0.36341463414634145,0.15149974580579562,0.21385001794043773,9835.0
Extremely Positive,0.3421793921423277,0.4010425716768028,0.36928,5755.0
accuracy,0.24731909144642406,0.24731909144642406,0.24731909144642406,0.24731909144642406
macro avg,0.2789028626705003,0.2989256815251774,0.2288597114064183,35529.0
weighted avg,0.29204162264173705,0.24731909144642406,0.21664676332940871,35529.0
